Station,r/R,X_in,Y_in,Z_in
8,1.000000,0.24185456,0.16843532,39.37007874
8,1.000000,0.12690808,0.18467377,39.37007874
8,1.000000,-0.01374001,0.20152376,39.37007874
8,1.000000,-0.05562946,0.19483183,39.37007874
8,1.000000,-0.19409620,0.20674590,39.37007874
8,1.000000,-0.29095060,0.21116755,39.37007874
8,1.000000,-0.38253321,0.21118189,39.37007874
8,1.000000,-0.46807735,0.20681053,39.37007874
8,1.000000,-0.54640521,0.19688073,39.37007874
8,1.000000,-0.61606708,0.18231338,39.37007874
8,1.000000,-0.67201653,0.16414695,39.37007874
8,1.000000,-0.70617451,0.14700672,39.37007874
8,1.000000,-0.71859472,0.13925017,39.37007874
8,1.000000,-0.77543918,0.13673085,39.37007874
8,1.000000,-0.72670197,0.14789706,39.37007874
8,1.000000,-0.73885488,0.14831042,39.37007874
8,1.000000,-0.72769047,0.13174447,39.37007874
8,1.000000,-0.69384094,0.10788065,39.37007874
8,1.000000,-0.64150881,0.08094184,39.37007874
8,1.000000,-0.57625214,0.05473525,39.37007874
8,1.000000,-0.50240421,0.03002102,39.37007874
8,1.000000,-0.42051647,0.00675981,39.37007874
8,1.000000,-0.33229394,-0.01542933,39.37007874
8,1.000000,-0.23802594,-0.03673666,39.37007874
8,1.000000,-0.10216285,-0.06536147,39.37007874
8,1.000000,-0.06415882,-0.08441549,39.37007874
8,1.000000,0.07450735,-0.11250554,39.37007874
8,1.000000,0.18836545,-0.13491648,39.37007874
8,1.000000,0.30634715,-0.15795857,39.37007874
8,1.000000,0.42670203,-0.18077948,39.37007874
8,1.000000,0.54919778,-0.20356212,39.37007874
8,1.000000,0.67236862,-0.22592010,39.37007874
8,1.000000,0.79563244,-0.24775079,39.37007874
8,1.000000,0.91863350,-0.26899144,39.37007874
8,1.000000,1.04160912,-0.28961996,39.37007874
8,1.000000,1.16482347,-0.30965093,39.37007874
8,1.000000,1.28913383,-0.32913957,39.37007874
8,1.000000,1.41576957,-0.34811077,39.37007874
8,1.000000,1.54447246,-0.36632709,39.37007874
8,1.000000,1.67330256,-0.38325458,39.37007874
8,1.000000,1.79795866,-0.39813482,39.37007874
8,1.000000,1.91650582,-0.41059465,39.37007874
8,1.000000,2.03008189,-0.42061083,39.37007874
8,1.000000,2.13967347,-0.42826138,39.37007874
8,1.000000,2.24618656,-0.43351415,39.37007874
